State_Code,Account_Length_Months,Area_Code,Intl_Plan,VM_Plan,VM_Messages,Avg_Day_Minutes,Avg_Day_Calls,Avg_Day_Charge,Avg_Eve_Minutes,Avg_Eve_Calls,Avg_Eve_Charge,Avg_Night_Minutes,Avg_Night_Calls,Avg_Night_Charge,Avg_Intl_Minutes,Avg_Intl_Calls,Avg_Intl_Charge,Customer_Service_Calls,Churn
AL,92,415,0,0,0,213.19,120,39.26,259.63,123,30.35,194.43,80,9.72,12.65,6,3.3,2,0
VT,74,415,0,1,35,166.59,110,30.69,132.23,89,15.46,204.66,60,10.23,12.54,10,3.27,2,0
NC,136,415,0,0,0,99.89,116,18.4,234.66,122,27.44,215.29,85,10.77,14.84,4,3.87,2,0
MS,78,408,0,0,0,152.11,82,28.02,209.16,121,24.44,256.1,113,12.81,13.45,6,3.51,0,0
WV,115,510,1,0,0,131.89,117,24.29,235.95,106,27.58,181.97,131,9.11,12.42,2,3.24,2,1
MS,31,415,0,0,0,154.49,71,28.45,117.55,76,13.73,297.32,118,14.87,13.22,7,3.46,0,0
WY,83,510,0,0,0,246.38,83,45.38,222.34,122,25.99,214.38,106,10.73,13.92,6,3.63,1,0
AL,96,415,0,0,0,192.43,148,35.45,315.67,132,36.9,245.27,96,12.27,13.8,7,3.6,2,0
MA,101,415,0,0,0,268.76,108,49.5,187.41,98,21.91,209.82,91,10.49,7.02,3,1.83,3,0
NY,163,415,0,0,0,88.65,101,16.33,134.16,109,15.68,173.47,113,8.68,9.2,4,2.4,1,0
MS,40,415,0,1,41,160.11,78,29.49,181.62,93,21.23,216.81,108,10.84,7.13,6,1.86,2,0
TX,36,415,0,1,16,161.51,118,29.75,141.23,120,16.5,134.38,92,6.72,7.7,2,2.01,0,0
WV,30,408,0,0,0,122.05,86,22.48,240.88,72,28.16,190.78,129,9.54,13,8,3.39,4,1
KS,30,510,0,0,0,245.84,93,45.28,195.55,106,22.85,194.13,142,9.71,14.38,3,3.76,0,0
AR,77,415,0,0,0,190.05,123,35.01,167.37,132,19.57,240.41,112,12.02,5.75,4,1.5,0,0
KS,147,415,0,0,0,141.19,88,26,222.98,152,26.07,207.19,76,10.37,17.94,3,4.68,3,0
UT,75,415,1,0,0,240.43,83,44.29,350.39,118,40.96,210.63,110,10.53,10,10,2.61,1,1
UT,79,415,0,0,0,155.68,95,28.67,145.51,96,17,215.09,136,10.76,14.95,4,3.9,1,0
HI,12,408,0,0,0,269.84,125,49.7,270.45,126,31.61,283.75,95,14.19,13.57,3,3.54,1,1
DE,37,408,0,0,0,215.68,113,39.73,222.34,116,25.99,84.96,130,4.25,9.32,4,2.43,2,0
WV,24,510,0,1,25,178.27,117,32.83,224.27,111,26.21,234.13,58,11.71,7.7,10,2.01,1,0
OR,94,415,1,0,0,254.7,139,46.91,208.73,113,24.4,172.76,98,8.64,9.89,4,2.58,1,0
LA,181,510,0,1,16,211.89,90,39.03,114.76,126,13.41,208.51,116,10.43,11.16,1,2.91,1,0
TN,127,408,0,0,0,293.19,117,54,228.77,85,26.74,204.35,108,10.22,15.18,4,3.96,0,1
RI,76,415,1,0,0,295.46,70,54.42,282.45,128,33.02,167.29,89,8.36,13.8,8,3.6,1,1
WV,103,415,0,0,0,214.59,119,39.53,45.54,95,5.32,181.47,131,9.07,14.26,6,3.72,0,0
NE,87,415,0,1,18,134.38,110,24.75,210.13,85,24.56,293.67,116,14.69,8.28,3,2.16,1,0
TX,164,510,0,0,0,207.68,101,38.26,267.67,100,31.28,134.28,106,6.72,8.4,3,2.19,3,0
TX,80,415,0,1,33,204.76,116,37.72,159.34,72,18.62,211.54,126,10.58,12.88,4,3.36,1,1
CT,146,415,0,0,0,188.43,120,34.71,215.06,113,25.14,284.76,153,14.24,13.34,3,3.48,4,0
NM,54,510,0,0,0,227.57,108,41.92,219.13,88,25.61,129.42,56,6.47,9.78,6,2.56,1,0
MT,68,415,0,0,0,193.19,65,35.59,270.35,89,31.61,258.94,80,12.95,9.66,4,2.52,1,0
IA,86,408,0,0,0,163.03,90,30.03,317.07,93,37.06,250.33,110,12.52,14.38,1,3.76,1,0
MN,67,408,0,0,0,181.41,97,33.42,179.7,73,21,111.7,75,5.58,9.66,13,2.52,1,0
HI,100,415,0,0,0,203.78,161,37.54,158.91,122,18.58,182.08,93,9.11,17.48,6,4.56,2,0
KS,178,408,1,0,0,134.59,142,24.8,151.3,83,17.68,271.59,119,13.58,13.11,2,3.42,2,1
MT,1,415,0,0,0,212,113,39.05,317.71,87,37.13,214.18,96,10.71,8.05,2,2.1,1,0
MI,121,408,0,0,0,162.92,111,30.01,211.41,141,24.71,171.14,123,8.56,10.58,16,2.76,1,0
IL,28,408,0,0,0,244,74,44.94,221.7,95,25.92,170.03,93,8.51,15.87,3,4.14,1,0
MD,145,408,0,1,43,278.59,103,51.32,173.69,101,20.3,290.53,91,14.53,12.76,4,3.33,2,0
WY,143,415,0,0,0,241.41,105,44.46,179.05,136,20.92,205.57,89,10.29,5.18,4,1.36,0,1
MA,91,510,0,0,0,235.57,75,43.39,246.56,123,28.82,235.04,116,11.75,12.19,2,3.18,1,0
NV,81,408,0,0,0,189.73,71,34.95,267.13,90,31.22,273.62,104,13.69,11.73,3,3.06,1,0
WA,124,415,0,0,0,271.89,90,50.09,229.52,104,26.83,188.46,75,9.42,12.76,7,3.33,3,0
WV,179,415,0,0,0,184.54,57,33.99,204.77,114,23.93,217.32,113,10.87,15.3,4,3.99,1,0
AZ,119,408,0,1,24,234.81,100,43.25,148.62,55,17.37,141.06,90,7.06,13,4,3.39,0,0
NM,67,415,0,1,40,113.41,69,20.89,231.77,98,27.1,220.15,135,11.01,11.04,10,2.88,1,0
MI,90,415,0,1,30,206.81,110,38.09,275.49,115,32.2,179.95,94,9,12.65,1,3.3,1,0
NE,96,415,0,0,0,235.46,127,43.38,149.59,115,17.49,230.58,117,11.54,13.34,3,3.48,0,0
PA,71,415,0,0,0,279.35,140,51.46,135.87,126,15.88,184.71,92,9.24,11.16,9,2.91,4,0
MO,76,510,0,0,0,179.14,100,33,275.81,85,32.24,172.96,121,8.66,11.5,4,3,1,0
DC,112,415,0,0,0,181.19,106,33.37,165.55,95,19.35,284.96,113,14.25,19.9,3,5.19,2,0
NJ,116,510,0,0,0,96.76,136,17.83,193.73,145,22.65,195.54,99,9.78,16.1,3,4.2,2,0
IL,49,415,0,0,0,231.14,84,42.58,284.06,98,33.2,242.84,135,12.14,17.94,8,4.68,0,0
AR,104,415,0,0,0,117.95,150,21.73,200.48,148,23.43,219.34,106,10.97,11.5,4,3,3,0
VT,132,415,0,0,0,186.7,95,34.39,368.61,66,43.08,305.42,119,15.27,6.32,4,1.66,0,0
SC,57,415,0,1,23,225.62,60,41.56,250.09,140,29.23,110.18,124,5.51,10.46,6,2.73,1,0
FL,209,415,0,0,0,245.62,136,45.24,276.88,97,32.36,185.82,78,9.3,10.24,4,2.67,3,0
IA,110,415,0,0,0,160.43,101,29.55,207.66,104,24.27,208.61,112,10.43,7.94,7,2.07,0,0
IA,71,510,0,0,0,200,89,36.84,249.13,137,29.12,193.52,87,9.68,17.14,4,4.47,3,0
OR,164,415,0,0,0,133.3,83,24.55,182.16,90,21.29,168,82,8.41,14.6,2,3.81,1,0
WY,119,415,0,1,35,234.7,98,43.23,236.59,142,27.66,252.66,98,12.64,9.2,6,2.4,2,0
WI,96,415,0,0,0,188,118,34.63,307.96,111,36,207.39,96,10.38,10.46,8,2.73,1,0
WA,122,408,0,1,45,159.78,90,29.44,157.94,98,18.46,206.08,116,10.31,16.1,6,4.2,1,0
SD,116,408,0,0,0,158.27,130,29.15,189.23,120,22.12,215.29,108,10.77,8.97,6,2.34,1,0
MT,120,415,0,0,0,200.76,141,36.98,251.92,158,29.44,259.65,82,12.99,19.43,7,5.07,0,0
NJ,209,415,0,0,0,166.16,111,30.61,202.09,92,23.62,203.34,100,10.17,12.3,2,3.21,0,0
IA,59,510,0,0,0,197.3,110,36.35,219.34,101,25.64,232.81,106,11.65,13,9,3.39,4,0
OR,100,415,0,0,0,188.32,99,34.68,251.81,107,29.44,267.54,88,13.38,11.38,8,2.97,1,0
AR,73,415,0,0,0,219.78,48,40.48,152.05,92,17.77,203.24,75,10.16,9.78,7,2.56,0,0
AL,139,408,0,0,0,202.59,91,37.32,181.41,123,21.2,155.34,93,7.77,13.45,3,3.51,1,0
AK,157,415,0,0,0,268.86,120,49.52,269.81,84,31.53,266.03,49,13.3,8.62,3,2.26,5,1
NE,150,510,1,0,0,124.11,165,22.86,144.98,83,16.94,221.16,104,11.06,17.94,4,4.68,1,1
DC,76,415,0,0,0,294.81,103,54.3,253.31,101,29.6,238.48,111,11.93,8.86,2,2.31,0,1
MO,161,415,0,0,0,348.43,106,64.18,246.88,143,28.85,244.56,110,12.23,8.97,6,2.34,2,1
PA,103,415,0,1,28,130.81,111,24.09,289.74,106,33.86,162.53,80,8.13,8.86,4,2.31,2,0
ID,100,415,0,1,26,213.73,85,39.37,249.24,88,29.13,199.19,127,9.96,13.8,6,3.6,1,0
WV,113,408,0,0,0,214.7,122,39.54,276.45,112,32.31,248.91,110,12.45,11.73,7,3.06,1,1
MI,114,415,0,0,0,226.16,135,41.65,177.12,98,20.7,199.29,104,9.97,12.19,9,3.18,3,0
AZ,92,510,0,0,0,240.43,111,44.29,175.73,137,20.54,236.25,119,11.82,11.38,9,2.97,1,0
UT,150,510,0,0,0,193.41,107,35.62,181.2,116,21.17,150.48,106,7.53,15.87,3,4.14,4,1
WV,125,415,0,0,0,260.22,87,47.93,288.67,90,33.74,189.47,78,9.48,11.62,3,3.03,0,1
IL,91,408,0,1,31,295.14,83,54.36,230.91,104,26.99,106.03,121,5.3,11.04,2,2.88,1,0
WY,103,415,0,1,40,177.84,101,32.76,245.06,87,28.64,197.16,103,9.86,8.51,1,2.22,4,0
HI,163,510,0,0,0,193.19,59,35.59,231.13,84,27.01,154.63,89,7.73,12.19,2,3.18,4,0
NM,22,408,0,1,29,163.46,156,30.1,217.73,143,25.45,299.85,104,14.99,12.76,2,3.33,2,0
MT,67,415,0,0,0,194.38,133,35.81,185.59,91,21.69,276.25,103,13.82,12.54,4,3.27,0,0
ID,120,415,0,0,0,234.05,120,43.12,269.81,96,31.53,166.58,132,8.33,8.4,1,2.19,3,0
WA,43,510,0,0,0,172.43,105,31.77,128.26,158,14.99,176.1,133,8.81,7.82,3,2.04,2,0
NC,131,415,0,0,0,217.41,150,40.05,231.99,98,27.11,220.15,140,11.01,13.22,4,3.46,1,0
RI,125,415,0,0,0,243.14,108,44.78,154.09,92,18.01,201.42,111,10.07,9.2,2,2.4,0,0
FL,88,415,0,0,0,192.22,119,35.41,242.7,85,28.36,224.61,75,11.23,9.09,4,2.37,1,0
KY,142,415,0,0,0,251.35,78,46.3,194.8,150,22.77,205.67,91,10.29,11.96,7,3.12,4,0
UT,75,415,0,0,0,329.84,112,60.76,201.45,122,23.55,238.38,123,11.92,9.78,6,2.56,0,1
RI,71,415,0,1,31,124.76,95,22.98,232.95,83,27.23,242.94,108,12.16,15.07,4,3.93,1,0
NJ,131,415,0,0,0,285.62,125,52.61,192.88,94,22.54,226.73,110,11.34,12.3,1,3.21,2,0
NJ,161,415,0,0,0,359.89,71,66.29,340.53,103,39.8,162.63,135,8.14,6.21,10,1.62,4,1
HI,73,415,0,0,0,189.62,138,34.93,265.85,111,31.08,123.95,90,6.2,14.03,4,3.66,0,0
MA,85,415,0,0,0,110.27,101,20.31,289.53,147,33.85,150.08,111,7.51,12.3,3,3.21,1,0
SD,112,415,0,0,0,125.3,86,23.08,213.98,106,25,252.46,117,12.63,11.5,4,3,1,0
LA,102,510,0,0,0,75.35,90,13.88,242.7,113,28.36,130.13,110,6.51,12.76,2,3.33,2,0
LA,57,415,1,0,0,245.84,100,45.28,156.87,122,18.33,214.08,97,10.7,9.55,6,2.49,1,0
LA,110,415,0,0,0,146.05,116,26.91,219.88,105,25.7,168.41,126,8.42,13.45,4,3.51,1,0
NH,113,510,0,0,0,162.27,127,29.89,214.41,90,25.06,270.08,111,13.51,12.65,3,3.3,2,0
WI,83,510,0,0,0,290.49,86,53.51,155.91,106,18.23,187.95,91,9.4,10.81,7,2.82,0,0
LA,62,510,0,0,0,212.11,113,39.06,111.33,110,13.01,206.38,93,10.32,15.18,4,3.96,1,0
NV,129,415,0,0,0,148.97,127,27.44,241.95,116,28.28,147.04,100,7.35,11.73,7,3.06,1,1
NY,106,415,0,0,0,206.92,132,38.12,215.06,123,25.14,233.01,80,11.65,9.43,3,2.46,1,0
AR,106,510,0,0,0,182.05,90,33.54,132.12,101,15.44,164.56,88,8.23,5.29,4,1.38,3,0
IN,87,510,0,1,39,89.3,120,16.45,240.45,67,28.1,165.67,93,8.28,10.92,1,2.86,3,0
MO,106,415,0,1,25,183.14,111,33.73,257.7,114,30.12,161.42,121,8.07,15.99,6,4.17,4,0
NC,74,415,0,0,0,186.05,111,34.27,226.84,105,26.51,184.51,111,9.23,13.34,7,3.48,1,0
MN,66,415,0,0,0,195.03,105,35.93,144.76,121,16.92,208.61,104,10.43,10.92,7,2.86,1,0
UT,201,415,0,1,21,207.57,103,38.23,256.2,86,29.94,117.57,132,5.88,17.36,3,4.53,1,0
NJ,98,408,0,0,0,185.62,105,34.19,187.3,92,21.9,192,137,9.6,8.97,7,2.34,1,0
AR,89,415,0,0,0,172.32,134,31.74,221.81,114,25.93,143.39,128,7.17,12.76,4,3.33,1,0
HI,69,415,0,1,31,210.7,67,38.81,205.3,95,24,154.94,136,7.75,15.18,2,3.96,2,0
NH,80,510,0,0,0,223.03,103,41.08,165.98,104,19.41,266.94,87,13.35,14.26,13,3.72,0,0
GA,97,510,1,0,0,156.76,109,28.87,315.35,98,36.87,242.84,127,12.14,12.65,2,3.3,4,1
CT,52,510,0,0,0,139.78,85,25.75,152.91,107,17.87,261.57,94,13.08,14.14,4,3.69,3,0
GA,92,408,0,1,28,163.35,95,30.09,208.73,84,24.4,242.23,121,12.11,11.5,3,3,1,0
NC,60,408,0,0,0,176,124,32.42,174.87,128,20.44,245.47,148,12.28,16.33,2,4.26,1,0
IN,110,510,0,0,0,140,100,25.79,99.22,102,11.6,156.25,116,7.81,11.38,6,2.97,3,0
NJ,156,408,0,0,0,188.43,101,34.71,199.95,136,23.37,261.47,111,13.08,14.84,6,3.87,3,0
HI,63,415,0,1,19,176.22,80,32.46,255.45,109,29.85,173.97,106,8.7,13,3,3.39,3,0
PA,58,408,0,0,0,178.81,106,32.94,123.98,92,14.48,196.25,125,9.81,14.72,6,3.84,2,0
WA,145,408,1,0,0,122.16,67,22.5,200.38,139,23.43,148.66,64,7.44,12.54,8,3.27,1,0
ID,100,415,0,0,0,173.3,146,31.92,237.13,97,27.72,152.3,127,7.62,12.88,2,3.36,0,0
KS,115,415,0,1,26,167.78,117,30.9,247.42,141,28.92,264.91,106,13.25,5.18,4,1.36,0,0
WA,138,408,0,0,0,149.95,132,27.62,300.35,68,35.11,209.32,104,10.47,11.96,4,3.12,1,0
VT,129,415,0,0,0,224.54,80,41.36,204.98,123,23.96,229.57,104,11.48,13.34,7,3.48,2,0
MS,105,415,0,0,0,143.03,111,26.34,154.84,94,18.09,197.97,134,9.9,6.21,3,1.62,0,0
CT,35,408,0,0,0,161.41,120,29.73,259.52,129,30.34,176.51,110,8.82,10.24,7,2.67,2,0
DC,127,408,0,0,0,146.49,117,26.99,156.44,123,18.29,210.63,93,10.53,12.3,4,3.21,2,0
WY,94,510,0,0,0,209.84,66,38.65,243.45,57,28.45,192.81,122,9.65,17.6,4,4.59,1,0
NM,114,415,0,0,0,183.35,90,33.77,63.11,91,7.38,181.57,131,9.08,8.51,9,2.22,1,0
FL,27,510,0,0,0,244.65,101,45.06,293.92,115,34.36,245.77,126,12.29,9.43,3,2.46,2,1
NY,131,415,0,0,0,228.97,122,42.18,279.13,108,32.62,146.03,101,7.3,12.42,8,3.24,0,0
MI,92,510,0,0,0,351.78,77,64.8,136.94,106,16,212.56,104,10.64,10.7,11,2.79,1,1
DE,68,408,0,0,0,256.32,111,47.22,239.49,111,28,98.63,84,4.93,15.18,2,3.96,1,0
KY,195,415,0,1,36,250.49,117,46.14,241.2,93,28.19,204.25,94,10.22,13.92,2,3.63,0,0
KS,86,408,0,0,0,160.22,75,29.51,305.49,96,35.7,168.51,164,8.43,7.13,3,1.86,2,0
OH,114,415,0,1,32,135.35,84,24.93,190.52,111,22.26,235.34,94,11.77,14.84,3,3.87,1,0
MN,36,408,0,0,0,189.3,153,34.87,232.41,73,27.17,246.78,154,12.35,11.38,3,2.97,1,0
MO,92,408,0,0,0,207.68,92,38.26,206.8,129,24.18,135.09,84,6.75,12.3,2,3.21,1,0
NE,82,415,0,0,0,324.65,116,59.8,193.95,106,22.68,273.52,77,13.67,13.45,4,3.51,0,1
NC,55,510,0,0,0,204.32,106,37.64,126.98,105,14.84,251.24,92,12.56,19.67,7,5.13,0,0
MA,142,510,0,0,0,250.92,108,46.22,180.23,116,21.07,199.8,127,9.99,11.38,3,2.97,1,0
AL,90,415,0,0,0,280.11,148,51.6,132.87,126,15.53,190.68,84,9.53,14.72,3,3.84,0,0
ID,131,415,0,0,0,252.97,124,46.6,224.38,151,26.23,262.08,111,13.11,11.27,3,2.94,1,0
MO,43,415,0,0,0,179.24,102,33.02,141.44,111,16.53,327.29,66,16.36,12.3,7,3.21,0,0
NJ,137,415,1,0,0,188.11,130,34.65,172.84,122,20.2,264,104,13.2,13.11,3,3.42,2,0
NE,45,415,0,0,0,103.89,109,19.14,264.45,142,30.91,232.61,97,11.64,11.16,4,2.91,1,0
UT,130,408,0,0,0,272.43,107,50.18,182.37,111,21.32,211.85,68,10.59,6.56,6,1.71,0,0
MI,74,415,0,1,32,188.76,113,34.77,332.82,122,38.9,237.67,97,11.89,10.35,4,2.7,1,0
CO,109,415,1,1,36,264,156,48.62,213.98,69,25,146.23,115,7.32,17.71,3,4.62,2,1
NM,114,510,1,1,28,147.46,99,27.16,182.16,95,21.29,193.92,77,9.7,16.79,4,4.38,2,1
HI,57,415,0,1,25,197.19,98,36.32,230.06,110,26.89,176.61,116,8.84,11.62,2,3.03,1,0
GA,96,510,0,0,0,194.05,133,35.75,173.91,147,20.33,267.85,141,13.39,7.59,2,1.98,1,0
WA,189,415,0,0,0,246.27,132,45.37,181.62,119,21.23,203.65,96,10.19,6.44,4,1.68,3,0
HI,88,415,0,0,0,186.81,86,34.41,207.23,95,24.22,90.73,113,4.54,14.72,6,3.84,2,0
VT,108,408,0,0,0,79.78,111,14.7,153.66,121,17.96,172.35,104,8.62,12.54,3,3.27,2,0
MI,123,415,0,0,0,151.35,112,27.88,164.69,107,19.24,50.73,92,2.53,14.38,1,3.76,2,0
NE,108,510,1,1,36,166.27,111,30.63,263.81,66,30.84,152.81,132,7.64,12.76,4,3.33,1,0
NY,197,510,0,0,0,167.35,118,30.83,183.77,108,21.48,230.18,91,11.51,12.19,2,3.18,3,0
VT,151,408,0,1,17,232.11,103,42.75,148.41,95,17.34,171.24,47,8.56,9.89,4,2.58,1,0
NH,158,408,0,0,0,186.38,121,34.33,274.95,73,32.14,238.28,110,11.92,0,0,0,2,0
KY,217,510,0,0,0,107.78,78,19.85,196.2,103,22.93,223.09,77,11.15,16.56,4,4.32,0,0
MA,123,415,0,0,0,186.16,98,34.29,174.23,80,20.36,253.47,107,12.67,10,4,2.61,1,0
DC,148,415,0,0,0,192.76,104,35.5,302.81,116,35.39,183.29,104,9.17,13.11,4,3.42,1,0
ME,127,408,0,0,0,168.43,97,31.03,111.12,90,12.98,118.68,132,5.93,9.89,3,2.58,2,0
CO,148,415,0,0,0,134.49,88,24.77,192.55,86,22.5,256.2,105,12.82,13,7,3.39,0,0
DC,39,510,0,0,0,200,120,36.84,114.12,132,13.33,169.42,82,8.47,13.8,2,3.6,0,0
OK,52,510,0,0,0,223.89,91,41.24,173.59,104,20.29,246.08,108,12.3,6.9,1,1.8,1,0
NC,98,415,0,0,0,239.14,85,44.04,228.88,110,26.76,295.49,94,14.78,13.68,3,3.57,4,0
WY,133,408,1,0,0,275.35,109,50.72,270.24,85,31.59,180.35,109,9.02,9.2,3,2.4,0,1
MA,98,415,1,1,20,201.3,119,37.07,155.69,69,18.2,144.61,110,7.24,12.54,4,3.27,3,0
OR,77,510,0,0,0,156.65,144,28.85,162.12,122,18.95,255.59,77,12.79,14.14,3,3.69,2,0
KS,109,415,1,1,26,234.81,146,43.25,155.91,118,18.23,284.25,80,14.21,10.7,3,2.79,0,0
AK,79,415,0,0,0,170.27,95,31.37,239.81,88,28.03,244.15,104,12.21,14.03,4,3.66,1,0
ME,162,408,0,0,0,53.19,128,9.79,154.19,144,18.02,205.57,103,10.29,13.92,14,3.63,1,0
MS,110,415,0,0,0,260.76,111,48.03,186.77,90,21.84,248.41,62,12.43,9.78,4,2.56,2,0
OK,103,408,0,0,0,159.24,86,29.33,169.73,93,19.83,196.25,109,9.81,12.65,3,3.3,2,0
WI,58,415,0,1,30,192.54,118,35.47,253.63,115,29.65,267.34,125,13.37,9.66,2,2.52,0,0
ME,92,408,0,0,0,270.92,106,49.9,44.68,100,5.22,188.56,106,9.43,11.16,7,2.91,2,0
OK,148,408,0,1,25,249.41,108,45.94,250.52,115,29.28,218.53,95,10.93,15.52,2,4.06,3,0
MD,125,408,0,0,0,122.16,115,22.5,181.3,113,21.19,158.58,64,7.93,10.58,6,2.76,2,1
CT,29,415,0,1,38,161.51,99,29.75,203.38,102,23.77,129.01,75,6.45,6.9,3,1.8,1,0
NY,134,415,0,1,32,242.16,80,44.61,104.47,109,12.22,214.28,85,10.71,12.3,6,3.21,2,0
SC,95,415,0,0,0,75.03,84,13.82,204.45,115,23.9,222.68,108,11.14,10.24,6,2.67,0,0
MI,138,510,0,1,26,198.81,88,36.62,257.92,98,30.15,188.05,132,9.41,17.25,3,4.5,1,0
KS,136,415,0,1,24,54.16,142,9.98,316.96,94,37.04,113.22,122,5.66,12.65,7,3.3,0,0
WA,65,415,1,0,0,300.43,130,55.33,166.94,119,19.51,260.15,75,13.01,10.58,11,2.76,0,1
PA,131,408,0,0,0,212.97,84,39.23,215.38,121,25.18,153.11,117,7.65,13.34,6,3.48,1,0
RI,83,510,0,0,0,84.43,74,15.56,256.42,122,29.97,146.23,118,7.32,14.14,4,3.69,1,0
MA,167,415,0,0,0,121.41,107,22.36,219.45,148,25.65,142.99,125,7.15,15.3,2,3.99,1,0
WV,162,510,0,1,46,243.14,103,44.78,201.66,89,23.58,257.82,64,12.9,13.92,2,3.63,0,0
ND,155,415,0,0,0,219.89,106,40.51,204.55,110,23.91,198.48,126,9.93,10.24,4,2.67,0,1
NC,135,510,0,0,0,266.81,137,49.15,201.23,128,23.52,156.46,115,7.82,14.49,6,3.78,1,0
CT,123,408,0,0,0,123.68,97,22.78,232.09,130,27.13,253.77,108,12.7,12.65,3,3.3,0,0
NV,68,415,0,0,0,240.11,113,44.23,213.66,108,24.98,164.46,113,8.23,10.81,3,2.82,2,0
MI,126,408,0,0,0,347.35,105,63.98,179.91,98,21.03,196.05,112,9.8,9.2,4,2.4,1,1
RI,79,415,0,0,0,87.78,97,16.16,231.13,133,27.01,249.01,90,12.46,12.54,4,3.27,1,0
NM,97,408,0,1,28,306.05,99,56.38,198.66,104,23.22,316.76,82,15.85,7.02,9,1.83,1,0
MI,100,415,1,0,0,168.97,87,31.12,277.95,96,32.49,145.52,98,7.28,9.55,8,2.49,5,0
NE,70,415,0,0,0,165.19,154,30.43,196.73,108,23,153.72,79,7.69,12.08,2,3.16,1,0
WY,70,510,0,1,23,222.16,101,40.93,240.34,85,28.1,198.58,80,9.93,11.16,4,2.91,1,0
ID,87,408,0,0,0,256.43,132,47.23,238.52,92,27.88,175.49,86,8.78,12.65,3,3.3,1,0
NM,163,415,0,1,39,289.84,110,53.39,232.09,69,27.13,364.46,125,18.23,13.11,4,3.42,0,0
MS,65,510,0,0,0,198.27,67,36.52,196.73,85,23,155.44,88,7.78,12.3,4,3.21,4,1
AL,24,408,0,1,29,255.46,111,47.05,204.45,121,23.9,130.63,111,6.54,8.28,2,2.16,3,0
TN,100,415,0,0,0,122.49,102,22.56,212.06,94,24.78,288.1,98,14.41,13.45,2,3.51,4,1
DC,117,415,0,0,0,111.14,126,20.48,221.48,96,25.89,302.78,111,15.15,11.62,8,3.03,1,0
MI,124,510,0,1,37,174.27,116,32.1,218.81,84,25.58,234.43,92,11.73,10.24,4,2.67,1,0
NY,59,510,1,1,31,243.24,83,44.8,204.98,84,23.96,229.57,84,11.48,10.46,3,2.73,1,0
WI,79,408,0,1,27,207.89,133,38.29,157.84,114,18.45,217.72,103,10.88,8.97,4,2.34,1,0
PA,136,415,0,0,0,176.65,88,32.54,267.13,126,31.22,252.86,95,12.65,11.27,4,2.94,7,0
NE,29,510,0,0,0,196.86,98,36.27,193.3,96,22.59,209.01,135,10.46,8.28,2,2.16,2,0
NH,87,415,0,0,0,181.84,98,33.49,240.77,106,28.14,171.65,105,8.59,14.84,3,3.87,1,0
VA,53,408,0,0,0,282.38,126,52.01,268.74,111,31.41,178.23,118,8.91,11.27,2,2.94,0,1
HI,113,415,0,1,32,195.03,94,35.93,138.66,131,16.21,169.01,131,8.45,9.66,2,2.52,1,0
UT,64,415,0,0,0,181.62,123,33.45,206.16,100,24.09,168.61,104,8.43,11.62,3,3.03,2,0
OH,126,408,1,0,0,213.62,134,39.35,264.13,119,30.87,288.91,110,14.45,14.38,9,3.76,2,0
NE,81,510,1,0,0,245.84,111,45.28,226.63,127,26.49,261.47,119,13.08,13.68,3,3.57,0,0
KS,126,415,1,1,26,139.78,130,25.75,189.12,121,22.1,156.46,108,7.82,11.04,8,2.88,1,0
IL,125,415,0,1,36,217.62,124,40.08,45.22,83,5.29,127.29,110,6.37,6.21,3,1.62,1,0
MA,13,510,0,0,0,180.97,124,33.34,239.49,108,28,218.53,114,10.93,10.35,3,2.7,1,0
IA,104,415,0,0,0,188.22,103,34.67,187.09,110,21.87,185.01,167,9.25,10.7,4,2.79,3,0
VT,122,408,0,1,27,274.27,89,50.52,245.59,115,28.7,192.91,130,9.65,10.58,6,2.76,7,0
NH,96,415,0,1,33,198.16,122,36.5,215.81,92,25.23,179.65,89,8.98,11.96,16,3.12,3,0
SD,132,510,0,1,36,244.54,109,45.04,194.59,132,22.75,262.08,108,13.11,12.08,6,3.16,3,1
IA,136,415,1,1,33,220.43,112,40.6,201.02,105,23.5,102.99,113,5.15,12.08,7,3.16,3,0
MN,79,415,0,0,0,240.32,105,44.27,156.66,87,18.32,279.09,87,13.96,10.24,4,2.67,3,0
NV,51,510,0,0,0,232.22,100,42.78,160.41,61,18.74,286.99,70,14.35,11.73,6,3.06,0,0
VA,48,415,0,0,0,205.84,98,37.92,340.21,90,39.77,135.09,119,6.75,9.55,4,2.49,2,0
IL,117,415,0,0,0,229.3,141,42.24,296.38,100,34.64,197.97,131,9.9,10.92,3,2.86,2,0
MN,48,415,0,1,34,214.05,74,39.43,293.28,128,34.27,220.66,75,11.04,8.74,4,2.28,1,0
WY,111,408,1,0,0,157.62,112,29.04,184.84,151,21.6,145.72,130,7.29,13.68,4,3.57,1,0
WI,35,415,0,0,0,114.16,137,21.03,276.67,137,32.34,215.8,81,10.79,10,3,2.61,0,0
NM,59,415,0,0,0,176.76,113,32.56,200.48,96,23.43,181.37,106,9.07,11.84,1,3.09,2,0
NY,107,415,0,0,0,229.3,101,42.24,160.84,93,18.8,222.58,117,11.13,8.86,2,2.31,3,0
NV,154,510,0,1,32,207.89,87,38.29,177.12,142,20.7,207.59,78,10.39,10.35,1,2.7,2,0
OH,65,415,0,1,21,146.05,127,26.91,255.45,95,29.85,290.03,98,14.51,12.65,10,3.3,4,0
